FILE NAME,TIME (SEC.),volume (ml)
2017-03-01_989_oligo_noise,53,14.20193889
2017-03-01_989_coastal_noise,60,16.07766667
2017-03-01_989_coastal_1.83um,60,16.07766667
2017-03-01_989_coastal_0.75um,98,26.26018889
2017-03-01_989_coastal_0.5um,120,32.15533333
2017-03-01_989_coastal_0.3um,97,25.99222778
2017-02-28_989_oligo_5.7um,101,27.06407222
2017-02-28_989_oligo_3.1um,74,19.82912222
2017-02-28_989_oligo_1.83um,135,36.17475
2017-02-28_989_oligo_1.0um,99,26.52815
2017-02-28_989_oligo_0.75um,119,31.88737222
2017-02-28_989_oligo_0.5um,61,16.34562778
2017-02-28_989_oligo_0.3um,52,13.93397778
2017-02-28_989_coastal_5.7um,103,27.59999444
2017-02-28_989_coastal_3.1um,72,19.2932
2017-02-28_989_coastal_1.0um,126,33.7631
2017-02-21_740_coastal_1um,156,55.37913333
2017-02-21_740_oligo_0.3um,87,30.88451667
2017-02-21_740_oligo_0.5um,92,32.65948889
2017-02-21_740_oligo_0.75um,89,31.59450556
2017-02-21_740_oligo_1um,156,55.37913333
2017-02-21_740_oligo_3.1um,180,63.899
2017-02-21_740_oligo_5.7um,180,63.899
2017-02-22_740_coastal_0.5um,93,33.01448333
2017-02-22_740_coastal_0.75um,160,56.79911111
2017-02-22_740_coastal_1.8um,180,63.899
2017-02-22_740_coastal_3.1um,180,63.899
2017-02-22_740_coastal_5.7um,180,63.899
2017-02-22_740_oligo_1.83um,76,26.97957778
2017-02-22_740_oligo_noise,131,46.50427222
2017-02-17_751_coastal_0.75um,180,49.472
2017-02-17_751_coastal_1um,140,38.47822222
2017-02-17_751_coastal_5.7um,179,49.19715556
2017-02-17_751_coastal_0.5um,123,33.80586667
2017-02-17_751_coastal_3.1um,106,29.13351111
2017-02-17_751_oligo_0.3um,67,18.41457778
2017-02-17_751_oligo_0.5um,99,27.2096
2017-02-17_751_oligo_0.18um,93,25.56053333
2017-02-17_751_oligo_0.75um,100,27.48444444
2017-02-17_751_oligo_1.83um,57,15.66613333
2017-02-17_751_oligo_1um,102,28.03413333
2017-02-17_751_oligo_3.1um,123,33.80586667
2017-02-17_751_oligo_5.7um,121,33.25617778
2017-02-17_751_oligo_noise,180,49.472
2017-02-18_751_coastal_0.31um,141,38.75306667