file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2015-08-02T06-00-56+00-00,mean,4471,4471,2804608,2769909,0,3632,20,96,0,0,-46309,0,-44948,2500
2015-08-02T06-00-56+00-00,97.5,5167,5167,2804608,2769909,0,3943,21,295,0,0,-69746,0,-67204,2500
2015-08-02T06-00-56+00-00,2.5,4150,4150,2804608,2769909,0,3371,16,76,0,0,-22873,0,-22693,2500
2015-08-02T10-01-15+00-00,mean,5220,5220,2941568,2895551,0,4345,29,116,0,0,-46309,0,-44948,2500
2015-08-02T10-01-15+00-00,97.5,5842,5842,2941568,2895551,0,4598,32,284,0,0,-69746,0,-67204,2500
2015-08-02T10-01-15+00-00,2.5,4889,4889,2941568,2895551,0,4065,27,102,0,0,-22873,0,-22693,2500
2015-08-02T14-00-09+00-00,mean,22614,22614,2831402,2468979,0,20144,72,198,0,0,-46309,0,-44948,2500
2015-08-02T14-00-09+00-00,97.5,23158,23158,2831402,2468979,0,20409,75,294,0,0,-69746,0,-67204,2500
2015-08-02T14-00-09+00-00,2.5,22282,22282,2831402,2468979,0,19874,65,191,0,0,-22873,0,-22693,2500
2015-08-02T18-00-28+00-00,mean,21655,21655,2847616,2476954,0,18412,72,174,0,0,-46309,0,-44948,2500
2015-08-02T18-00-28+00-00,97.5,22432,22432,2847616,2476954,0,18667,77,270,0,0,-69746,0,-67204,2500
2015-08-02T18-00-28+00-00,2.5,21298,21298,2847616,2476954,0,18120,69,171,0,0,-22873,0,-22693,2500
2015-08-02T22-09-46+00-00,mean,15804,15804,2318208,2019068,0,13514,57,138,0,0,-46309,0,-44948,2500
2015-08-02T22-09-46+00-00,97.5,16254,16254,2318208,2019068,0,13751,63,211,0,0,-69746,0,-67204,2500
2015-08-02T22-09-46+00-00,2.5,15519,15519,2318208,2019068,0,13273,57,132,0,0,-22873,0,-22693,2500
2015-08-03T02-00-11+00-00,mean,16547,16547,2828928,2508589,1,11502,52,161,0,0,-46309,0,-44948,2500
2015-08-03T02-00-11+00-00,97.5,17187,17187,2828928,2508589,1,11809,55,286,0,0,-69746,0,-67204,2500
2015-08-03T02-00-11+00-00,2.5,16203,16203,2828928,2508589,1,11235,48,149,0,0,-22873,0,-22693,2500
2015-08-03T06-00-31+00-00,mean,17307,17307,2930304,2595469,1,13800,59,128,0,0,-46309,0,-44948,2500
2015-08-03T06-00-31+00-00,97.5,17914,17914,2930304,2595469,1,14098,66,245,0,0,-69746,0,-67204,2500
2015-08-03T06-00-31+00-00,2.5,16916,16916,2930304,2595469,1,13478,56,121,0,0,-22873,0,-22693,2500
2015-08-03T10-00-50+00-00,mean,21240,21240,3109203,2747121,2,17487,49,129,0,0,-46309,0,-44948,2500
2015-08-03T10-00-50+00-00,97.5,21773,21773,3109203,2747121,2,17746,50,218,0,0,-69746,0,-67204,2500
2015-08-03T10-00-50+00-00,2.5,20852,20852,3109203,2747121,2,17178,43,124,0,0,-22873,0,-22693,2500
2015-08-03T14-01-19+00-00,mean,24126,24126,3063168,2663785,1,20609,73,173,0,0,-46309,0,-44948,2500
2015-08-03T14-01-19+00-00,97.5,24819,24819,3063168,2663785,1,20884,76,250,0,0,-69746,0,-67204,2500
2015-08-03T14-01-19+00-00,2.5,23766,23766,3063168,2663785,1,20330,70,168,0,0,-22873,0,-22693,2500
2015-08-03T18-01-39+00-00,mean,22741,22741,2939776,2518508,1,19771,63,151,0,0,-46309,0,-44948,2500
2015-08-03T18-01-39+00-00,97.5,23247,23247,2939776,2518508,1,20021,66,206,0,0,-69746,0,-67204,2500
2015-08-03T18-01-39+00-00,2.5,22369,22369,2939776,2518508,1,19463,59,146,0,0,-22873,0,-22693,2500
2015-08-03T22-01-58+00-00,mean,18927,18927,2896512,2516638,1,15179,46,132,0,0,-46309,0,-44948,2500
2015-08-03T22-01-58+00-00,97.5,19506,19506,2896512,2516638,1,15497,47,199,0,0,-69746,0,-67204,2500
2015-08-03T22-01-58+00-00,2.5,18551,18551,2896512,2516638,1,14886,40,131,0,0,-22873,0,-22693,2500
2015-08-04T02-03-11+00-00,mean,15095,15095,3142450,2781122,0,8122,58,152,0,0,-46309,0,-44948,2500
2015-08-04T02-03-11+00-00,97.5,15775,15775,3142450,2781122,0,8403,61,264,0,0,-69746,0,-67204,2500
2015-08-04T02-03-11+00-00,2.5,14668,14668,3142450,2781122,0,7819,57,140,0,0,-22873,0,-22693,2500
2015-08-04T05-58-44+00-00,mean,15793,15793,3228485,2830858,1,9590,42,164,0,0,-46309,0,-44948,2500
2015-08-04T05-58-44+00-00,97.5,16486,16486,3228485,2830858,1,9872,42,295,0,0,-69746,0,-67204,2500
2015-08-04T05-58-44+00-00,2.5,15417,15417,3228485,2830858,1,9316,40,152,0,0,-22873,0,-22693,2500
2015-08-04T10-02-04+00-00,mean,21875,21875,3262848,2869331,1,17267,56,171,0,0,-46309,0,-44948,2500
2015-08-04T10-02-04+00-00,97.5,22540,22540,3262848,2869331,1,17591,62,276,0,0,-69746,0,-67204,2500
2015-08-04T10-02-04+00-00,2.5,21494,21494,3262848,2869331,1,16994,53,155,0,0,-22873,0,-22693,2500
2015-08-04T13-59-24+00-00,mean,22721,22721,3094199,2648366,1,19649,62,146,0,0,-46309,0,-44948,2500
2015-08-04T13-59-24+00-00,97.5,23253,23253,3094199,2648366,1,19901,69,221,0,0,-69746,0,-67204,2500
2015-08-04T13-59-24+00-00,2.5,22344,22344,3094199,2648366,1,19341,59,142,0,0,-22873,0,-22693,2500
2015-08-04T18-01-07+00-00,mean,23227,23227,3201408,2724689,1,19187,63,133,0,0,-46309,0,-44948,2500
2015-08-04T18-01-07+00-00,97.5,23828,23828,3201408,2724689,1,19468,68,205,0,0,-69746,0,-67204,2500
2015-08-04T18-01-07+00-00,2.5,22868,22868,3201408,2724689,1,18901,60,128,0,0,-22873,0,-22693,2500
2015-08-04T21-58-26+00-00,mean,20884,20884,3565440,3193574,0,16554,74,292,0,0,-46309,0,-44948,2500
2015-08-04T21-58-26+00-00,97.5,21577,21577,3565440,3193574,0,16840,76,406,0,0,-69746,0,-67204,2500
2015-08-04T21-58-26+00-00,2.5,20470,20470,3565440,3193574,0,16240,72,276,0,0,-22873,0,-22693,2500
