cruise,file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,time,fr,vc,pro.seaflow,pro.seaflow2,syn.seaflow,syn.seaflow2,pico.seaflow,pico.seaflow2,pro.influx,syn.influx,pico.influx
SCOPE6,2015-08-02T06-00-56+00-00,mean,4381,4381,2804608,2769909,0,3632,20,28,0,0,-56782,0,-55042,2500,2015-08-02 06:00:56,2910.8666,13.8118327077893,262.962930180272,57.9319414349876,1.4480337564993,0.319008488078125,2.02724725909901,0.446611883309375,203.886033689612,1.3591361674995,2.8059645297443
SCOPE6,2015-08-02T10-01-15+00-00,mean,5103,5103,2941568,2895551,0,4345,29,31,0,0,-56782,0,-55042,2500,2015-08-02 10:01:15,2910.8666,15.3899747507124,282.32664902838,69.3045940349727,1.88434357234131,0.462562307713282,2.0142983014683,0.494463156521094,181.346629158505,2.18888826147094,4.10531847722274
SCOPE6,2015-08-02T14-00-09+00-00,mean,22593,22593,2831402,2468979,0,20144,72,182,0,0,-56782,0,-55042,2500,2015-08-02 14:00:09,2910.8666,79.9098037210523,252.08421322518,321.305349192288,0.901015853465694,1.14843055708125,2.27756785181606,2.90297724151094,173.130495082054,1.15908058234416,2.80800614215499
SCOPE6,2015-08-02T18-00-28+00-00,mean,21632,21632,2847616,2476954,0,18412,72,156,0,0,-56782,0,-55042,2500,2015-08-02 18:00:28,2910.8666,76.2644759949519,241.423018512823,293.679214124722,0.944083061749036,1.14843055708125,2.04551330045624,2.48826620700938,180.3821622526,1.02141016806727,2.77009710713222
SCOPE6,2015-08-02T22-09-46+00-00,mean,15774,15774,2318208,2019068,0,13514,57,115,0,0,-56782,0,-55042,2500,2015-08-02 22:09:46,2910.8666,68.2235710957729,198.084031412383,215.554035394389,0.835488366916221,0.909174191022657,1.68563442448009,1.83429880644922,190.630946689536,1.14069489425651,2.61090613885134
SCOPE6,2015-08-03T02-00-11+00-00,mean,16509,16509,2828928,2508589,1,11502,52,134,0,0,-56782,0,-55042,2500,2015-08-03 02:00:11,2910.8666,57.4691550103265,200.142145781215,183.46178149373,0.904833209930722,0.829422069003126,2.33168557943686,2.13735687012344,199.845081751426,1.25472095650101,2.61622437113287
SCOPE6,2015-08-03T06-00-31+00-00,mean,17278,17278,2930304,2595469,1,13800,59,104,0,0,-56782,0,-55042,2500,2015-08-03 06:00:31,2910.8666,58.1327919325563,237.387531911598,220.115856773906,1.01491770889741,0.94107503983047,1.78900748687001,1.65884413800625,208.587570728487,1.41405387853118,2.79105299659884
SCOPE6,2015-08-03T10-00-50+00-00,mean,21213,21213,3109203,2747121,2,17487,49,111,0,0,-56782,0,-55042,2500,2015-08-03 10:00:50,2910.8666,67.4322825814371,259.326828791257,278.925071551109,0.726654921414285,0.781570795791407,1.64609584238746,1.7704971088336,199.4,1.188,2.744
SCOPE6,2015-08-03T14-01-19+00-00,mean,24089,24089,3063168,2663785,1,20609,73,152,0,0,-56782,0,-55042,2500,2015-08-03 14:01:19,2910.8666,78.9701858754366,260.971906948624,328.722296540104,0.924399495717869,1.16438098148516,1.92477703217967,2.42446450939375,184.611441359289,1.31816135081962,2.82891561420179
SCOPE6,2015-08-03T18-01-39+00-00,mean,22711,22711,2939776,2518508,1,19771,63,135,0,0,-56782,0,-55042,2500,2015-08-03 18:01:39,2910.8666,78.7474465269914,251.068458368657,315.355840889631,0.800025940884397,1.00487673744609,1.71434130189514,2.15330729452735,169.31423758454,1.02732849197516,2.93786986438873
SCOPE6,2015-08-03T22-01-58+00-00,mean,18903,18903,2896512,2516638,1,15179,46,112,0,0,-56782,0,-55042,2500,2015-08-03 22:01:58,2910.8666,65.5924030470016,231.413994531092,242.111492026893,0.701300727876028,0.733719522579688,1.70751481569815,1.7864475332375,210.412557141534,1.07787752822715,2.79136615730925
SCOPE6,2015-08-04T02-03-11+00-00,mean,15043,15043,3142450,2781122,0,8122,58,118,0,0,-56782,0,-55042,2500,2015-08-04 02:03:11,2910.8666,47.2343531824206,171.951121435549,129.549347008527,1.22791985265474,0.925124615426563,2.49818176919413,1.88215007966094,208.681914642153,1.0517200486711,2.57566550384098
SCOPE6,2015-08-04T05-58-44+00-00,mean,15754,15754,3228485,2830858,1,9590,42,139,0,0,-56782,0,-55042,2500,2015-08-04 05:58:44,2910.8666,48.5977669134941,197.334170046755,152.964570033461,0.864237241080679,0.669917824964063,2.86021372643367,2.21710899214297,218.825835511169,1.16143612157772,2.5901728449965
SCOPE6,2015-08-04T10-02-04+00-00,mean,21846,21846,3262848,2869331,1,17267,56,151,0,0,-56782,0,-55042,2500,2015-08-04 10:02:04,2910.8666,66.4867090031788,259.706041386023,275.415978182249,0.842273603846486,0.893223766618751,2.27113061037177,2.40851408498985,210.102665137641,1.01748090694448,2.90803311949398
SCOPE6,2015-08-04T13-59-24+00-00,mean,22698,22698,3094199,2648366,1,19649,62,131,0,0,-56782,0,-55042,2500,2015-08-04 13:59:24,2910.8666,74.8433374618161,262.535058782281,313.409889112354,0.828397050460657,0.988926313042188,1.75032280016687,2.08950559691172,210.102665137641,1.01748090694448,2.90803311949398
SCOPE6,2015-08-04T18-01-07+00-00,mean,23207,23207,3201408,2724689,1,19187,63,125,0,0,-56782,0,-55042,2500,2015-08-04 18:01:07,2910.8666,74.3781927253349,257.9653968046,306.040793037749,0.847022463057788,1.00487673744609,1.68060012511466,1.99380305048828,210.102665137641,1.01748090694448,2.90803311949398
SCOPE6,2015-08-04T21-58-26+00-00,mean,20857,20857,3565440,3193574,0,16554,74,274,0,0,-56782,0,-55042,2500,2015-08-04 21:58:26,2910.8666,57.0319754696775,290.258225559824,264.043325582264,1.2975177414176,1.18033140588906,4.80432244795166,4.37041628667032,210.102665137641,1.01748090694448,2.90803311949398
DeepDOM,2013_088/251.evt,mean,20667,20667,1324416,1262477,6,16004,2032,736,0,0,-34029,0,-32498,2500,2013-03-29 12:36:03,2494.59889778,122.511242787994,130.63290875022,138.103992862253,16.5862328530647,17.5348233876592,6.00761189953523,6.35119587269547,163.654351856034,19.2163111116022,3.25597037045358
DeepDOM,2013_090/238.evt,mean,19926,19926,1323776,1238339,8,15537,667,571,0,0,-34029,0,-32498,2500,2013-03-31 11:52:27,2494.59889778,120.421090599176,129.022249530319,134.07409004629,5.53889685503782,5.75577125963027,4.7416943091853,4.92735440666999,185.985749972102,6.11459999908281,2.02239999969664
DeepDOM,2013_091/270.evt,mean,21612,21612,1349376,1241312,6,18254,360,432,0,0,-34029,0,-32498,2500,2013-04-01 13:37:41,2494.59889778,130.297470850571,140.094814433768,157.52001285351,2.76290857873104,3.10656319860104,3.31549029447724,3.72787583832125,206.609059074756,3.20237272702236,1.98397727257216
DeepDOM,2013_092/418.evt,mean,24936,24936,1798912,1684030,9,22872,222,218,0,0,-34029,0,-32498,2500,2013-04-02 21:19:05,2495.46094,110.853394535442,206.326563979847,197.370315217786,2.00264503338256,1.91571397247064,1.96656133908738,1.8811966035973,167.120549974932,2.7373499995894,1.13364999982995
DeepDOM,2013_096/2.evt,mean,26313,26313,1746875,1669676,7,24444,26,402,0,0,-34029,0,-32498,2500,2013-04-06 00:03:21,2495.46094,117.980489114451,207.186799982557,210.935641185011,0.220375421352744,0.224362897676742,3.4073430532232,3.46899557177116,211.391827448965,1.82980455998188,1.39112571298839
DeepDOM,2013_100/55.evt,mean,18359,18359,1420288,1328910,48,16629,61,423,0,0,-34029,0,-32498,2500,2013-04-10 02:43:19,2494.59889778,103.389261494781,160.838754040616,143.497331748713,0.590003247127163,0.52638987531851,4.09133399237361,3.65021175835623,132.528644447831,1.28565185188471,1.33510000003412
DeepDOM,2013_101/151.evt,mean,23669,23669,1703552,1576826,293,21964,74,233,0,0,-34029,0,-32498,2500,2013-04-11 07:36:19,2493.73646134,112.296946467378,195.588577347297,189.534872483537,0.658967160977053,0.638571324156881,2.07485606091423,2.01063673687234,151.747039388849,1.30134913958539,1.24864652645576
DeepDOM,2013_103/16.evt,mean,25839,25839,1954432,1849875,61,24153,48,400,0,0,-34029,0,-32498,2500,2013-04-13 00:45:24,2494.59889778,104.533453751855,231.055218526839,208.424502599475,0.459183144507443,0.414208426480139,3.82652620422869,3.45173688733449,233.016174964118,1.96204646537555,1.43574644783919
DeepDOM,2013_104/346.evt,mean,25478,25478,2195328,2131473,174,23447,222,363,0,0,-34029,0,-32498,2500,2013-04-14 17:18:58,2494.59889778,89.4555887655703,262.107715387641,202.33218699333,2.48167837318448,1.91571397247064,4.05787950209894,3.13245122525605,230.163838640357,2.54332876898383,1.33469148226556
DeepDOM,2013_105/309.evt,mean,24745,24745,1939712,1869810,118,22434,195,274,0,0,-34029,0,-32498,2500,2013-04-15 15:35:16,2494.59889778,99.0403031199418,226.513846315995,193.590663326155,1.96889542799407,1.68272173257557,2.76655049882243,2.36443976782413,254.172694746273,3.14284031309348,1.56539938966342
DeepDOM,2013_106/364.evt,mean,23705,23705,1883264,1814930,95,21011,212,279,0,0,-34029,0,-32498,2500,2013-04-16 18:10:43,2494.59889778,97.7466902941847,214.953569647872,181.311109349463,2.16887138952686,1.82942055028728,2.85431659282073,2.40758647891581,201.12768001432,2.76879200019714,1.17488800008365
DeepDOM,2013_107/258.evt,mean,23200,23200,3237383,3172742,157,19478,1497,427,0,0,-34029,0,-32498,2500,2013-04-17 12:53:53,2494.59889778,54.7236690804005,355.933736303075,168.082327728753,27.355621893711,12.9181253008493,7.80283937783207,3.68472912722957,202.700714884237,14.0420009190742,1.88252177162341
DeepDOM,2013_108/70.evt,mean,29054,29054,2741632,2695092,133,26055,1236,345,0,0,-34029,0,-32498,2500,2013-04-18 03:27:37,2494.59889778,80.6778503770188,322.951093493956,224.83751149875,15.3201900425458,10.6658669818636,4.27626663808923,2.977123065326,331.927254142234,13.3841005735384,1.85630299329961
DeepDOM,2013_112/319.evt,mean,40786,40786,1843456,1756672,31,37614,315,152,0,0,-34029,0,-32498,2500,2013-04-22 16:14:43,2495.46094,173.817086910089,216.399898701885,324.584078200499,1.81224990937134,2.71824279877591,0.874482495950617,1.31166001718711,247.036949962944,5.07574999923864,1.53259999977011
DeepDOM,2013_114/163.evt,mean,56159,56159,1841920,1728426,57,51751,420,204,0,0,-34029,0,-32498,2500,2013-04-24 08:06:57,2495.46094,243.243143061016,212.754198736112,446.577089141118,1.72666737781235,3.62432373170122,0.838667012080286,1.76038581254059,228.524522138006,3.42031796632503,1.54047765707393
DeepDOM,2013_115/295.evt,mean,40311,40311,2052992,1959771,104,37049,1944,184,0,0,-34029,0,-32498,2500,2013-04-25 14:44:42,2495.46094,153.989204788223,240.594787478463,319.708499847139,12.6242615686829,16.7754412724456,1.19488895506052,1.58779896817387,264.574649975694,19.7659784964746,2.23126863572032
DeepDOM,2013_116/407.evt,mean,33073,33073,2300160,2256632,1024,30448,717,373,0,0,-34029,0,-32498,2500,2013-04-26 20:58:29,2495.46094,109.719767780418,277.506967212468,262.746211863902,6.53482972580594,6.18723837054708,3.39956971788789,3.21874464743941,345.057092766617,9.23882440515609,2.2699337576717
DeepDOM,2013_117/392.evt,mean,41792,41792,2528640,2459344,93,39954,599,191,0,0,-34029,0,-32498,2500,2013-04-27 19:35:35,2495.46094,127.21722167108,314.06125267616,344.776738991406,4.7084820131406,5.1689759887834,1.501369055943,1.64820436370222,297.579410203736,7.87961117453728,2.20256847792184
DeepDOM,2013_118/393.evt,mean,35872,35872,2128128,2019140,201,32937,159,118,0,0,-34029,0,-32498,2500,2013-04-28 19:49:51,2495.46094,133.002924274216,247.641171648925,284.22464464534,1.195462437143,1.37206541271546,0.88719853825707,1.01826238176368,180.78242963425,2.83375925933168,1.32749259262652
DeepDOM,2013_120/231.evt,mean,33103,33103,1989632,1908106,339,30580,643,512,0,0,-34029,0,-32498,2500,2013-04-30 11:31:36,2495.46094,129.878387516448,235.451029110808,263.885285036722,4.95078520988389,5.5486670463902,3.94214934286244,4.41822321578815,289.122507091331,5.87590714180997,2.13102499962022
DeepDOM,2013_121/286.evt,mean,44110,44110,2904514,2798552,56,40623,507,172,0,0,-34029,0,-32498,2500,2013-05-01 14:16:25,2495.46094,117.998288468537,344.26770529669,350.549768935473,4.29667249059454,4.37507650469647,1.457648261109,1.48424686155383,313.109008348309,7.06824798562354,1.93900810600668
MBARI1,2011_274/74.evt,mean,8142,8142,3381248,3381244,2,148,4850,1943,0,0,-38941,0,-37190,2500,2011-10-01 06:44:50,4637.537814,33.5014268845324,4.41772228120622,3.26438879846317,144.769953134123,106.974903192881,57.9975296782681,42.8561313203645,14.336,180.717,38.096
MBARI1,2011_274/75.evt,mean,8101,8101,3388416,3388414,2,166,4750,2061,0,0,-38941,0,-37190,2500,2011-10-01 06:47:50,4637.537814,33.2621933133442,4.99065105046466,3.66140905773572,142.80477403438,104.769235085811,61.9622398494437,45.4588196867067,14.336,180.717,38.096
MBARI1,2011_274/79.evt,mean,8233,8233,3354368,3354366,3,145,4825,2132,0,0,-38941,0,-37190,2500,2011-10-01 06:59:51,4637.537814,34.1473012986615,4.24630920996628,3.19821875525108,141.299599573016,106.423486166114,62.435387832056,47.0248440427262,14.336,180.717,38.096
MBARI1,2011_274/264.evt,mean,7999,7999,3073152,3073143,2,356,3822,2235,0,0,-38941,0,-37190,2500,2011-10-01 16:15:25,4637.537814,36.2127616328163,9.83078848306863,7.85217846116817,105.542903321035,84.3006350522044,61.7185737630853,49.296682193008,63.698,94.868,20.968
MBARI1,2011_274/269.evt,mean,8107,8107,3075968,3075958,1,386,3912,2161,0,0,-38941,0,-37190,2500,2011-10-01 16:30:26,4637.537814,36.6681070334166,10.5268592035097,8.51387889328909,106.686718145414,86.2857363485671,58.9340485460737,47.6644877937765,63.698,94.868,20.968
MBARI1,2011_274/275.evt,mean,7612,7612,3091584,3091581,0,311,2897,3020,0,0,-38941,0,-37190,2500,2011-10-01 16:48:27,4637.537814,34.2552284803484,9.07890601805254,6.8596278129868,84.5710312999943,63.8982050618095,88.1617240338221,66.6111768335053,63.698,94.868,20.968
MBARI1,2011_275/11.evt,mean,11049,11049,2109056,2108160,1,6207,1591,1333,0,0,-38941,0,-37190,2500,2011-10-02 00:32:13,4637.537814,72.9168876748719,85.1243134193591,136.905819405817,21.8193624376028,35.0921795834791,18.2810874477212,29.4015558672392,144.843,22.414,7.419
MBARI1,2011_275/18.evt,mean,11231,11231,2154779,2153869,1,6743,1728,1282,0,0,-38941,0,-37190,2500,2011-10-02 00:53:15,4637.537814,72.5450626603113,92.9491236581291,148.728200459711,23.8196775443048,38.1139448901646,17.6717746596057,28.2766651326337,144.843,22.414,7.419
